文本内容|实体关系1
 Investment flows into emerging markets |{[1,11],VBP},{[32,39],DT},Entity-Destination
The mechanism transported dust into shadowed regions |{[26,30],JJ},{[45,52],NN},Entity-Destination
Both are driven to play a leading role in the five-strong bratpack of teenagers who have the game's future in their hands|{[70,79],NN},{[58,66],NN},Member-Collection
Squeezed growers have put plight to the city dwellers |{[26,32],NN},{[45,53],NN},Entity-Destination
But by far the most frequent tsunami-maker is the buckling of the seafloor caused by an undersea earthquake |{[97,107],DT},{[50,58],JJ},Cause-Effect
To use it a person applies the vinegar to a cotton ball and then swabs the vinegar on the affected area|{[31,38],NN},{[12,18],NN},Instrument-Agency
A political blog is a common type of blog that comments on politics |{[12,16],NN},{[59,67],IN},Message-Topic
So it is quite possible for nonviolence and grave violence to slip back and forth in the mouth of the same person |{[89,94],MD},{[107,113],NN},Component-Whole
A magnetic bracelet helps the pain from stroke in your arm|{[40,46],NN},{[30,34],DT},Cause-Effect
Dalindyebo R900-million and the tribe a further R80-billion in compensation for the humiliation caused by the monarch's criminal trial |{[129,134],NN},{[84,95],JJ},Cause-Effect
A war of words erupts between Sinn Fein and the DUP over the devolution of policing and justice powers to Northern Ireland|{[2,5],DT},{[61,71],NN},Message-Topic
The duration of the visa is estimated from the first exit of the applicant from the country after issuance of the visa|{[65,74],NN},{[84,91],VBP},Entity-Origin
A few crappie on Tuesday June 24 were found among flooded willow trees presumably feeding on the recent hatch of mayflies willow flies that occurred on Sunday and Monday|{[113,121],DT},{[104,109],DT},Member-Collection
Her bathing suit was pulled off her shoulders and her back a ruddy orange brown set off by a string of creamy pearls  shone in the sun|{[110,116],VBZ},{[93,99],NN},Component-Whole
By tacit approval an order of preaching heretics who deny the infallibility of the Bible an order of drunken and adulterous clergy  are permitted and are at this moment holding benefices and preaching in the Church of England|{[124,130],VBP},{[21,26],NN},Member-Collection
The pig rooted around in the dirt with its snout |{[43,48],CC},{[4,7],NN},Component-Whole
The Government spent nearly 10m euro of taxpayers' money this year to cover the salaries of the ever-increasing coterie of special advisers |{[131,139],NN},{[112,119],VBP},Member-Collection
India plans to build a constellation of seven geo-stationary satellites at a cost of Rs 1600 crore to meet the navigational system requirements in cars trains and aircraft|{[61,71],DT},{[23,36],VBP},Member-Collection
The sales cycle has shortened from several months to weeks|{[10,15],VBP},{[43,49],MD},Other
Alexandros caught blade by the haft as it fell|{[18,23],NN},{[31,35],DT},Component-Whole
The study on which this paper is based was prompted by concerns about marking standards|{[4,9],NN},{[24,29],DT},Other
Before heading down the phone operator career path you need to examine whether you possess the skills for this type of position|{[24,29],NN},{[30,38],NN},Instrument-Agency
Also every employee who is a participant in the trust automatically has a beneficial interest in the ownership of the agency|{[11,19],NN},{[48,53],NN},Other
Ken put a thermometer in a glass filled with hot water |{[49,54],DT},{[27,32],VBZ},Content-Container
The bottles contained a substance authorities believe is human fat|{[24,33],NN},{[4,11],NN},Content-Container
The detector module including a preamplifier was inside a laboratory oven |{[4,19],NN},{[58,73],DT},Content-Container
The mentor session was the best part of the conference |{[11,18],NN},{[44,54],VBP},Component-Whole
The concept car Acura TL features a wiperless windscreen using a series of jet nozzles in the cowl to blow pressurized air onto the windscreen|{[79,86],JJ},{[46,56],NN},Component-Whole
Stirring the hot popcorn around in a kettle drizzled with sugar salt and oil evenly coats the popcorn|{[17,24],MD},{[37,43],CC},Content-Container
After arriving on the bottom at the wreck site the first team of divers must check the anchor of the boat for security|{[87,93],JJ},{[101,105],VBZ},Component-Whole
The tiller of the stonebow is curved downward between the latch and the prod|{[4,10],NN},{[18,26],NN},Component-Whole
However the exact active site configuration of enzymes in vivo is very difficult to address for two reasons|{[47,54],CC},{[30,43],VBP},Component-Whole
Part of the task which the authors set themselves is the delineation and validation of the idea that a subculture of violence exists|{[103,113],NN},{[117,125],NN},Other
The rootball was in a crate the size of a refrigerator and some of the arms were over 12 feet tall|{[4,12],MD},{[22,27],VBP},Content-Container
The author 's name gives her work a brand image that informs consumers' choices of literary and artistic works|{[4,10],JJ},{[14,18],DT},Other
The newborn arrived into this world with gifts and talents|{[4,11],NN},{[30,35],MD},Entity-Destination
In the healthy heart the left ventricle performs a systolic wringing motion with a counterclockwise rotation at the apex|{[30,39],NN},{[100,108],MD},Other
The radiation burst was coming from a supernova remnant known as N49 in the galaxy known as the Large Magellanic Cloud|{[4,19],DT},{[38,55],JJ},Entity-Origin
His novels and stories often have to do with black comedy  parody satire and Zen Buddhism|{[4,10],NN},{[45,57],NN},Message-Topic
 Water erosion is the detachment and removal of soil material by water|{[1,6],DT},{[7,14],NN},Cause-Effect
Two days later the salt water fish was put into a fresh water pound |{[30,34],NN},{[62,67],MD},Entity-Destination
 Lesions involving the medial part of the premotor cortex the supplementary motor area SMA and the rear portion of the medial part of the precentral gyrus caused a contralateral severe leg-predominant hemiplegia  distally predominant and a less severe proximal weakness of the arm|{[1,8],NN},{[201,211],NN},Cause-Effect
The pins of this socket are as thick as the pins of an IC|{[4,8],NN},{[17,23],MD},Component-Whole
A rasher of bacon was found in a returned book by a Worthing librarian|{[2,8],DT},{[42,46],NN},Content-Container
The frenetic jostling for elbow room among the ratpack of photographers is more usually the case|{[58,71],NN},{[47,54],DT},Member-Collection
Their marriage became the topic of conversation in all circles of society|{[35,47],VBP},{[6,14],DT},Message-Topic
Examining the disruption caused by pupil mobility |{[41,49],NN},{[14,24],NN},Cause-Effect
These brothers were the first to invent a working airplane |{[50,58],JJ},{[6,14],NN},Product-Producer
The hardness of a piano hammer has a great deal of influence on the resulting piano sound|{[24,30],DT},{[18,23],VBZ},Component-Whole
The second injury also started from the aforementioned collision  but has only recently re-surfaced|{[55,64],VBP},{[11,17],VBP},Cause-Effect
 Production and investigation of such a detector arose from an inadequate sensitivity of a commercial p-type Si detector|{[74,85],NN},{[1,11],NN},Cause-Effect
The workmen applied a blowlamp to the pipes which were lagged with felt|{[22,30],NN},{[4,11],MD},Instrument-Agency
The group has thrown together a neat prototype device that could possibly be the future of casinos|{[47,53],NN},{[4,9],NN},Product-Producer
The director  Robert Connolly who co-wrote the script with David Williamson assembles the pieces with great methodical logic |{[4,12],NN},{[119,124],IN},Other
They looked very closely at the white of the eye  and saw lines that look like tiny pink threads|{[32,37],NN},{[45,48],NNS},Component-Whole
Illegal overcharge was passed on to the customers |{[8,18],NN},{[40,49],JJ},Entity-Destination
However apart from visual design elements one also gets creative with the layout of the site |{[74,80],DT},{[88,92],NN},Other
This is completed by students using the online system |{[47,53],NN},{[21,29],NN},Instrument-Agency
A few space probes have been placed into orbit around other bodies|{[12,18],NN},{[41,46],NN},Entity-Destination
The statement below comes from the Morristown Humane Society website |{[4,13],VBZ},{[61,68],NN},Entity-Origin
A longer probationary period for new teachers placing experienced teachers on probation following several years of unsatisfactory evaluations and new alternative ways for certification are parts of the proposal |{[202,210],NN},{[162,166],DT},Component-Whole
Art a concept separate from both artwork and creator  thus exists as the source for them both|{[33,40],NN},{[45,52],VBP},Product-Producer
 Discovery consists of seeing what everybody else has seen and thinking what nobody else has thought|{[1,10],NN},{[23,29],NN},Other
The locker contained a big fluffy robe for me to change into|{[34,38],NN},{[4,10],MD},Content-Container
The crowd departs from the capital after the swearining of President Barack Obama|{[4,9],VBP},{[27,34],DT},Entity-Origin
This show studies the artist's conversation between and untamed subject and a highly domesticated setting|{[5,9],NN},{[31,43],VBP},Message-Topic
The inflammation is caused by the growth of unusual bacteria which usually results from antibiotic use|{[34,40],NN},{[4,16],VBP},Cause-Effect
The exhibition The Art of the Motorcycle caused a revolution on the museum scene with its presentation of the motorcycle as a metaphor of the 20th century|{[4,14],''},{[50,60],NN},Cause-Effect
Students review art from different periods throughout history|{[16,19],NN},{[35,42],NN},Entity-Origin
Pressures occur throughout life and those pressures cause stress |{[42,51],NN},{[58,64],NN},Cause-Effect
A full quarter of the products in the supermarket have some form of corn in them|{[22,30],NN},{[38,49],JJ},Content-Container
The other shows the goddess of justice as blindfolded with a sword by her side|{[61,66],NN},{[20,27],MD},Instrument-Agency
One of the best vantage points of the Boston skyline is from the water  in a boat heading toward the Boston Harbor Islands|{[24,30],NN},{[65,70],DT},Other
With iterpipes python is ready to replace the bash shell for scripting |{[51,56],NN},{[61,70],NN},Other
The slot machine contains computer software known as random number generator|{[35,43],MD},{[9,16],DT},Component-Whole
But here is a jumper sewn by a daughter Antoinette for her mother|{[14,20],JJ},{[31,39],DT},Product-Producer
Now you have imported the data into the region database |{[26,30],DT},{[47,55],DT},Entity-Destination
It took the great Ronald Reagan years to develop his vast coterie of left wing haters |{[79,85],DT},{[58,65],VBP},Member-Collection
The drugs cause unconsciousness and cardiac arrest separately|{[4,9],NN},{[16,31],JJ},Cause-Effect
The consignment was brought into a port in Sagunto|{[4,15],VBP},{[35,39],MD},Entity-Destination
The three ship fleet of Columbus consisted of two ships known as caravels Pinta and Nina and a larger ship which served as Columbus's flag ship|{[10,14],NN},{[15,20],NN},Member-Collection
Thousands of drummers and dancers perform in the streets of Kandy accompanied by a parade of ornamented elephants |{[104,113],NN},{[83,89],DT},Member-Collection
This article lists people whose artwork has been featured on stamps of the United States|{[61,67],VBZ},{[32,39],NN},Message-Topic
Focusing on chronic dumping areas the group began enforcement action with surveillance cameras and day and night patrols|{[87,94],DT},{[38,43],NN},Instrument-Agency
The maker of additives for engine oils and industrial lubricants posted significantly higher profit in its last quarter despite continued volume declines|{[13,22],NN},{[4,9],DT},Product-Producer
This is an absorbing book  diminished by the choppy way Ackerman balances Antonina's account with the larger story of the Warsaw Holocaust|{[21,25],NN},{[52,55],DT},Other
The credit card-sized reader sits in my wallet  so that I can carry it with myself wherever I go|{[22,28],VBZ},{[40,46],DT},Content-Container
The three fireplaces in the cottage are constructed of random stones with mortar joints raised and rounded|{[10,20],NN},{[28,35],VBP},Component-Whole
When Guang Yang worked in a textile factory in her hometown of Beijing she would sing to pass the time|{[28,35],NN},{[36,43],DT},Product-Producer
Bruce had fallen out of favour and Koro and Cleo settled into a more conventional relationship producing another clutch of chicks |{[123,129],NN},{[113,119],VBP},Member-Collection
Among the highlights were an epaulette shark that walks on its fins  a praying mantis-like shrimp and scores of reef-building corals|{[63,67],NN},{[39,44],VBZ},Component-Whole
 Electrolysis of the resulting mixture caused the reduction of the aluminum ions in the Al2O3|{[1,13],NN},{[50,59],NN},Cause-Effect
Governments and industries in nations around the world are pouring billions into nanotechnology |{[67,75],NN},{[81,95],DT},Entity-Destination
The president of the bank has told us that most of the State banks exist by its forbearance|{[4,13],NN},{[21,25],DT},Other
The stories also explore cultural norms  social norms and other aspects of Vietnamese society|{[4,11],NN},{[25,39],JJ},Message-Topic
The new residents have been moved into their brand new home |{[8,17],NN},{[55,59],MD},Entity-Destination
The aim of this paper is to present a model for the determination of the monetary values|{[16,21],DT},{[38,43],MD},Message-Topic
The President seeks to hand over power for AIDS program to client countries |{[33,38],MD},{[59,75],NN},Entity-Destination
Last month scientists sliced the brain into 2401 paper-thin sections part of a project to create an open-access digital atlas|{[11,21],NN},{[33,38],NN},Other
The white plastic cup was put inside a large cup and 100 Formosan subterranean termites were released inside the large cup|{[18,21],JJ},{[18,21],JJ},Entity-Destination
There was an ancient-looking small shrine there in the ground and they found an earth of foxes under its floor|{[89,94],NN},{[80,85],DT},Member-Collection
Real gamers use keys neck ties |{[26,30],NN},{[5,11],DT},Instrument-Agency
Later in his speech  Obama declared his support for Iranian nuclear power and opposition to Iranian nuclear weapons|{[13,19],NN},{[40,47],JJ},Message-Topic
Chin creates his work based on his life experiences and observations|{[17,21],MD},{[35,51],NN},Other
These include the tapping of the package the way one holds their cigarette the oral gratification and the easy social camaraderie of smokers on a break|{[118,129],DT},{[133,140],NN},Other
A number of questions had been tabled relating to the dangers of the new vaccine|{[12,21],JJ},{[54,61],DT},Message-Topic
The jewelry was in a cabinet in the same room|{[4,11],NN},{[21,28],DT},Content-Container
This meeting of devoted friends and lovers served as the foundation of the NAMES Project AIDS Memorial Quilt|{[5,12],NN},{[24,31],NN},Other
A spider bite is an injury resulting from a spider's forced interaction with other than prey organisms that can lead to medically significant complications|{[9,13],NN},{[2,8],NN},Product-Producer
Usman was made to dig one place for a foot or so while the priest searched the earth with his fingers : The charm did not appear|{[94,101],NN},{[59,65],NN},Component-Whole
Self-organization become apparent in evolution as self-assemblage of the gene networks and cascades|{[50,65],NN},{[78,86],NN},Other
Many different bacteria protozoa and viruses cause food poisoning  but most cases are the result of just a few species of bacteria|{[24,32],NN},{[56,65],NN},Cause-Effect
The boy learned how to protect the socket for making a picture light switch cover in this free home decorating video|{[63,75],NN},{[76,81],VBP},Other
It was a dispute discussing the question whether the language of the Greek people Dimotiki or a cultivated imitation of Ancient Greek Katharevousa should be the official language of the Greek nation|{[9,16],NN},{[32,40],JJ},Message-Topic
The database 's contents comprise more than 150000 images covering the early 1970s to 1994|{[51,57],VBP},{[4,12],DT},Content-Container
He also released a similar document investigating violence against women|{[27,35],MD},{[50,58],NN},Message-Topic
The concepts of psychoanalysis have been applied to films in various ways|{[16,30],NN},{[52,57],NN},Other
One sad excuse the pun consequence is that a winter of suffering from SAD adds to the weight gain caused by the antidepressants |{[112,127],JJ},{[86,97],NN},Cause-Effect
The fortress has 6 bastions and 4 gates|{[19,27],DT},{[4,12],MD},Component-Whole
Ward Cunningham the developer of the first wiki software  WikiWikiWeb originally described it as the simplest online database that could possibly work|{[48,56],MD},{[20,29],NN},Product-Producer
The organization has also been the subject of much conspiracy parody |{[51,68],VBP},{[4,16],NN},Message-Topic
The poor management pushed the workers into depression |{[31,38],MD},{[44,54],NN},Other
 Stings or bites are caused by midges horseflies bees wasps  ants some spiders fleas lice etc|{[1,7],NN},{[54,59],DT},Product-Producer
 Conscripts on Spanish galleons escaped by jumping ship in New Orleans and in Acapulco Mexico|{[1,11],MD},{[23,31],DT},Entity-Origin
In the shoulder joint the humerus upper arm bone fits into the socket of the shoulder blade |{[86,91],NN},{[7,15],NN},Component-Whole
The beach was empty except for a charm of yellow finches |{[49,56],NN},{[33,38],VBP},Member-Collection
The ovarian tumour was put inside a plastic bag before retrieval|{[12,18],JJ},{[44,47],DT},Content-Container
A Stormont meeting on jobs with a delegation from the north west was 'constructive'|{[11,18],NN},{[22,26],NN},Message-Topic
Of the three institutions using a thesaurus as a tool for managing indexing vocabulary one stated that the material covered was of a general nature|{[13,25],VBP},{[34,43],NN},Instrument-Agency
Every municipality in Ontario is a member of the corporation |{[6,18],JJ},{[49,60],VBP},Member-Collection
 Pilgrimage to Mecca is a basic tenet of Islam|{[1,11],NN},{[32,37],NN},Other
The unit consists of a mobile launcher an interceptor and a command and control battle management and communication C2BMC system|{[42,53],VBP},{[4,8],NN},Component-Whole
The reciter stirs the water with a double-edged sword  a Khanda which he holds in his right hand|{[48,53],NN},{[4,11],NN},Instrument-Agency
The structural deficit has been caused by the series of tax cuts  not the recession or defense needs|{[56,64],DT},{[15,22],NN},Cause-Effect
The hypermenorrhea was made worse by treatment |{[4,18],NN},{[37,46],NN},Other
After facing the hopelessness of the future the poet sank into despair |{[48,52],MD},{[63,70],NN},Other
The perpetrator killed the victim with a gun |{[41,44],JJ},{[4,15],NN},Instrument-Agency
He has arranged a new brigade of Irish volunteers |{[39,49],MD},{[22,29],NN},Member-Collection
The final rules are under consideration and are expected by June 30|{[10,15],JJ},{[26,39],VBP},Other
I remembered about a string of rosary beads my mother purchase for me from a young priest and I pulled them out of the nightstand where they had been for about 15 years|{[38,43],VBZ},{[21,27],NN},Component-Whole
On the bedroom chair and along the rail of the bed were scattered the garments the only garments so far as he knew and the bandages of their guest|{[35,39],DT},{[7,10],NN},Component-Whole
Plus the drink machine was out so my drink was in a can and they had no ice as well|{[9,14],NN},{[52,55],DT},Content-Container
At that time the skull was already locked in a safe along with some other longish bones|{[17,22],NN},{[47,51],DT},Entity-Destination
In this issue  we focus on the value of wild trees and the varied products they provide|{[8,13],VBP},{[31,36],DT},Message-Topic
The backside of the haft of the Gebel el Arak knife is decorated with the images of a number of of a number of animals presided over by an old man in Mesopotamian dress|{[20,24],DT},{[46,51],CC},Component-Whole
In July 2004 the group struck again with bombs at the US and Israeli Embassies|{[41,46],NN},{[17,22],NN},Instrument-Agency
This is effective public relations writing from the mind of a retired editor with a dose of stickiness|{[35,42],NN},{[70,76],NN},Product-Producer
The manager saw a black male fire two shots while beside his car in the parking lot|{[4,11],DT},{[24,28],DT},Other
However the emperor took advantage of the gathering to determine the order and organization of the church|{[12,19],NN},{[42,51],DT},Other
Strong warm winds from the Northwest and North have carried locusts into the closest sector |{[60,67],MD},{[85,91],NN},Entity-Destination
My brother Joe put the cat in a dresser drawer and shut it|{[23,26],DT},{[32,46],NN},Entity-Destination
The community of senior citizens already has great electoral power|{[24,32],NN},{[4,13],VBP},Member-Collection
The storm water is going away from the development |{[10,15],DT},{[39,50],NN},Entity-Origin
In July last year six of the UK's biggest net providers agreed and announced a plan to tackle online piracy |{[79,83],VBZ},{[101,107],NN},Message-Topic
Music Label is a very mature product that uses a powerful database engine |{[67,73],CC},{[29,36],NN},Component-Whole
There is this really funny scene where the tie salesman runs away from the crime scene |{[47,55],DT},{[27,32],NN},Entity-Origin
The Italian donated equipment to the charity |{[20,29],NN},{[37,44],VBP},Entity-Destination
NASA has dumped the probe into the deep outer space |{[20,25],NN},{[40,51],JJ},Entity-Destination
It took a long time to undo the damage that has been caused by the crisis of confidence damage whose effects are just now beginning to make themselves felt in a slow glacial collapse|{[67,73],NN},{[32,38],DT},Cause-Effect
Our club consists of fun-loving residents  both retired and working from a wide range of businesses|{[32,41],NN},{[4,8],VBP},Member-Collection
The young student is part of the environmental association IndyACT|{[10,17],NN},{[47,58],JJ},Member-Collection
These oatmeal cookies are very moist with a good flavor|{[14,21],VBP},{[6,13],DT},Entity-Origin
These are the loopholes of the fortress  at which either at top or bottom the self-immuned spider is usually to be seen watching|{[14,23],MD},{[31,39],MD},Component-Whole
Pressure sewer pipes are manufactured to ASTM D3754 also in 20 and 40 foot lengths and in standard pressure classes from 50 psi up to 250 psi|{[15,20],NN},{[9,14],NN},Component-Whole
The immediate origin of the pigment in circulation is from the breakdown of endodermal tissue|{[28,35],NN},{[63,72],NN},Other
 Vegetable stew is a delicious low calorie and healthy meal to enjoy on a cold winter night|{[11,15],NN},{[1,10],NN},Entity-Origin
Ellis was one of the so called bratpack of American authors of the 1980's along with Jay McInerney and Tama Janowitz|{[52,59],JJ},{[31,39],NN},Member-Collection
Only the session identifier is stored in a cookie whether database is used or not|{[17,27],VBP},{[43,49],VBP},Content-Container
This car definitely has snob appeal with its good looks and saloon functionality|{[5,8],DT},{[29,35],NN},Other
The document was locked in a safe at Scotland Yard and only sent to the coroner in 2003|{[4,12],MD},{[29,33],DT},Content-Container
One downside of the book was that some points in the book the author expanded the book with knowledge that made it a little less interesting|{[20,24],NN},{[62,68],JJ},Product-Producer
But I am more or less set on 2 continued courses from last term and Financial Derivatives for this term|{[41,48],VBP},{[59,63],NN},Entity-Origin
They advised me that their records for 1993 were in a box of files in a warehouse|{[27,34],NN},{[54,57],NN},Content-Container
Essential supplies are being delivered to conflict-affected families in Yemen|{[10,18],JJ},{[60,68],DT},Entity-Destination
The mummy  ensconced in material was inside a box bearing the words Sacred to the memory of our little Hawaiian home across the sea|{[4,9],JJ},{[46,49],NN},Content-Container
This level of experience has already been mentioned in the previous chapter |{[68,75],VBP},{[5,10],NN},Message-Topic
To the right of that is a cup with soil inside|{[35,39],NN},{[26,29],JJ},Content-Container
 Electromagnets have come into use |{[1,15],NN},{[31,34],NN},Other
When the princess left her native land and traveled west to her bridegroom she carried smuggled in her headdress silkworm cocoons and the seeds of the mulberry tree on which they feed|{[9,17],NN},{[34,38],DT},Entity-Origin
A typical passage on these themes is found in the saint 's letter to the Christians in the city of Magnesia|{[59,65],NN},{[50,55],DT},Product-Producer
The term originates from an article published 14 February 1807 by journalist William Cobbett in the polemical Weekly Political Register|{[4,8],NN},{[28,35],NN},Entity-Origin
The Lisbon treaty has come into force |{[11,17],NN},{[32,37],MD},Other
The drug was put inside a capsule for a reason|{[4,8],NN},{[26,33],DT},Entity-Destination
This website sets out both sides of the argument|{[5,12],NN},{[27,32],NN},Message-Topic
The local legend is about a mausoleum that was also the final resting place of King Robert the Bruce adding spin to the Earl's noble connections|{[4,16],MD},{[28,37],DT},Message-Topic
Amazonian tribes reclaim the rain forest with the help of GPS navigation tools |{[62,78],DT},{[10,16],NN},Instrument-Agency
The rescue teams found 17 of the 25 crew thrown into the sea when the tanker caught fire after the collision |{[99,108],VBP},{[84,88],NN},Cause-Effect
The user inserted an advertising into the podcast |{[21,32],NN},{[42,49],MD},Entity-Destination
The entire post was placed into the upcoming events |{[11,15],MD},{[45,51],NN},Entity-Destination
Along the way she presents anecdotes illustrating basic business principles |{[27,36],JJ},{[65,75],NN},Message-Topic
The kids liberate the ponies with the help of a sympathetic groom|{[4,8],NN},{[38,42],NN},Other
Because of its low cost of preparation and reputation as a local comfort food chicken stew is often served at large social gatherings such as church fellowships family reunions and community fundraisers|{[86,90],NN},{[78,85],NN},Entity-Origin
Approximately 1000 farm animals receive health and medical care each year in our Farm Animal Hospital|{[19,23],DT},{[24,31],NN},Other
 Trauma to the face and nasal area causes nosebleeds  such as getting punched or violently slapped|{[1,7],VBZ},{[42,52],NN},Cause-Effect
When the photographer took pictures with the filter attached the images looked flat with a glare that covered the entire image|{[45,51],NN},{[9,21],NN},Instrument-Agency
In this affecting perceptive debut novel  Rachel Kadish reflects on the ghosts of the past the tensions of war and the difficult bonds of family|{[35,40],NN},{[72,78],NN},Message-Topic
Besides acting directing and producing Eastwood is also a musician who has composed the themes to nine of his films|{[88,94],NN},{[58,66],JJ},Product-Producer
The boy sculpts a pony out of mud and takes care of it as if it were real|{[30,33],JJ},{[4,7],NN},Instrument-Agency
The man pushed the woman into the windscreen |{[19,24],MD},{[34,44],NN},Entity-Destination
Pakistan captain Younis Khan was on Thursday forced to skip a pre-scheduled media discussion session in the city after being bitten by an erst of honey bees outside his home|{[152,156],NN},{[138,142],NN},Member-Collection
Lots of people responded positively to my recent post about favorite fictional towns from children's literature |{[79,84],MD},{[101,111],NN},Entity-Origin
In many ways the flavor of rye beer is reminiscent of wheat beers|{[31,35],NN},{[27,30],NN},Entity-Origin
It is a satirical show on Quebec television that comments on current events by the favour of the show's main character|{[18,22],NN},{[61,75],JJ},Message-Topic
 Conference deals with nuclear safety  environmental issues|{[1,11],MD},{[31,37],DT},Message-Topic
Some comments from readers highlight the frustration and inconvenience caused by the 3-pin system |{[91,97],NN},{[41,52],NN},Cause-Effect
The patient denies any symptoms associated with this pointed lesion located on the edge of the helix of the auricle  which has been present since infancy|{[95,100],NN},{[108,115],JJ},Component-Whole
Visual observations from space reveal a number of fascinating natural phenomena of interest to meteorologists and aeronomists such as aurorae airglow aerosol layers lightning and atmospheric refraction effects|{[7,19],NN},{[25,30],VBZ},Other
The armature has a coil of wire wrapped around an iron core|{[19,23],NN},{[4,12],NN},Component-Whole
A teacher is writing vocabulary words on a green chalk board with yellow chalk in mid-afternoon|{[49,54],VBP},{[2,9],VBZ},Instrument-Agency
The stick of the pinwheel is as simple as a pencil or as intricate as a carved stick or metal rod|{[4,9],NN},{[17,25],NN},Component-Whole
All kangaroos have a chambered stomach similar to cattle and sheep|{[31,38],NN},{[4,13],DT},Component-Whole
The Museum also has a subject gateway that contains over 2500 records relevant to maritime history |{[62,69],NN},{[82,98],DT},Message-Topic
The maker 's guidelines were clear but not really necessary as it was so simple to use|{[13,23],NN},{[4,9],DT},Product-Producer
Ground resonance occurs while the helicopter is on the ground with rotors turning; it will not happen in flight|{[67,73],MD},{[34,44],NN},Component-Whole
The speech was delivered from the steps of Lincoln Memorial on August 28 1963 as part of his famous March on Washington|{[4,10],NN},{[34,39],NN},Other
They come up from under the thwart through the traveler and out through the eyestrap to the clam cleats located on either side of the boat |{[97,103],VBP},{[134,138],VBZ},Component-Whole
Just a few months earlier Burger King had launched its Burger Buddies combo of two hamburgers for 89 cents and later launched Breakfast Buddies a 59-cent breakfast sandwich that came with a disposable razor blade|{[83,93],DT},{[70,75],VBP},Component-Whole
The report gives an account of the silvicultural work done in Africa Asia Australia South American and the Caribbean|{[4,10],NN},{[49,53],MD},Message-Topic
They continued in conversation when the teacher tapped him on the head with a screwdriver |{[78,89],NN},{[40,47],VBZ},Instrument-Agency
The city accuses Wells Fargo of engaging in illegal reverse redlining - targeting black neighborhoods for bad loans that resulted in mass foreclosures |{[110,115],VBZ},{[138,150],MD},Other
Based in Cambridge New Zealand the company's bees produce manuka honey rewarewa honey bee pollen and propolis |{[101,109],NN},{[45,49],NN},Product-Producer
In New York I had dinner with a friend who graduated from a prominent evangelical college ; he was active in a pro Israel student organization|{[32,38],NN},{[82,89],VBP},Entity-Origin
Players are tasked with building an armada of ships and a base from which to deploy them|{[46,51],NN},{[36,42],NN},Member-Collection
Sorcha the seventh daughter of a seventh son had to save her brothers from their stepmother  who turned them into swans for many years|{[114,119],VBZ},{[81,91],NN},Product-Producer
She once took a tin of her delicious cookies made from the following old recipe |{[37,44],VBP},{[73,79],NN},Other
Jessica Simpson's A Public Affair video features a group of stars from movies and TV|{[60,65],VBZ},{[71,77],IN},Entity-Origin
Our newsroom contains the latest developments in UK foreign policy and news on the work of the British Embassy and Consulates around the US|{[4,12],NN},{[33,45],NN},Other
Pneumonia is an inflammation of the lungs caused by bacteria viruses or chemical irritants |{[81,90],VBP},{[16,28],VBP},Cause-Effect
This is the best book for programmers needing algorithms not theory|{[17,21],NN},{[26,37],NN},Instrument-Agency
In addition to a speedometer a flickering digital meter mounted on the dashboard of the truck tells you how much energy is being drawn from the batteries|{[71,80],DT},{[88,93],NN},Component-Whole
The blockages are caused by a build-up of fatty plaque along the artery walls|{[42,54],DT},{[4,13],NN},Cause-Effect
The report refers to the arrival of the first Somali settlers from the north in three waves|{[53,61],NN},{[71,76],JJ},Entity-Origin
The student moved his digressions into footnotes |{[22,33],NN},{[39,48],NN},Entity-Destination
This wheel with its snout-engaging pins is exposed so that the worker can thrust the snout thereagainst|{[35,39],NN},{[5,10],NN},Component-Whole
The statute covering the matter specified in detail when and where the fair was to be held|{[4,11],VBZ},{[25,31],DT},Message-Topic
Considerable attention has been directed toward the study of the motility of the stomach and its regulation by the extrinsic nerves|{[13,22],NN},{[52,57],NN},Other
The demise of the bees has been caused by the globalization of commerce |{[63,71],VBP},{[4,10],NN},Cause-Effect
The first bomb to explode in the main northwest city of Peshawar on Saturday was hidden in a car and devastated a street busy with traffic shoppers and worshippers heading to mosques to pray|{[10,14],NN},{[93,96],DT},Content-Container
Both trucks run on lead-acid batteries  common in most vehicles|{[29,38],DT},{[5,11],NN},Component-Whole
The governments sent scientists to the desert for surveying climate changes|{[21,31],NN},{[39,45],NN},Entity-Destination
The letter was from a woman who explained to me every single detail of a three month affair she had with my husband|{[4,10],NN},{[22,27],MD},Entity-Origin
Staphylococcal food poisoning is caused by eating food contaminated with Staphylococcus aureus|{[43,49],DT},{[15,29],NN},Cause-Effect
The decorated Vietnam veteran posts a weekly tribute to service members killed in Iraq and Afghanistan|{[45,52],NN},{[22,29],NN},Product-Producer
The student formed a paragraph using a phrase from an original source|{[39,45],NN},{[4,11],NN},Instrument-Agency
Doc's former lover the erstwhile hippie Shasta has become entangled with a married billionaire developer  Marty Wolfmann|{[83,94],NN},{[95,104],NN},Other
British were engaged at great odds with the swarming rabble of the alleys |{[53,59],DT},{[67,73],NN},Other
The binder was in a box labeled vegetable oil|{[4,10],NN},{[20,23],NN},Content-Container
Each feeding unit contains sensor for measure of remaining feed in a scuttle |{[5,9],NN},{[69,76],NN},Content-Container
Reporters commented on the crush of candidates compared to the crowd of supporters|{[36,46],DT},{[27,32],VBP},Member-Collection
